"c_host_gene_response_id","c_pathogen_id","c_description","c_host_response_id","c_gene_id","c_curation_flag","c_response_type_vo_id","c_response_type_vo_id2"
1696,59,"YF-Vax induced up-regulation of CD53 in PBMC's extracted from human subjects: 0.39 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2859,10,VO_0000569,
1697,59,"YF-Vax induced up-regulation of CEACAM7 in PBMC's extracted from human subjects: 0.23 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2860,10,VO_0000569,
1698,59,"YF-Vax induced up-regulation of NCOA1 in PBMC's extracted from human subjects: 0.35 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2869,10,VO_0000569,
1699,59,"YF-Vax induced up-regulation of HIST1H3J in PBMC's extracted from human subjects: 0.31 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2870,10,VO_0000569,
1700,59,"YF-Vax induced up-regulation of GSTK1 in PBMC's extracted from human subjects: 0.31 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2871,10,VO_0000569,
1701,59,"YF-Vax induced up-regulation of SDC3 in PBMC's extracted from human subjects: 0.29 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2872,10,VO_0000569,
1702,59,"YF-Vax induced up-regulation of HIST1H3G in PBMC's extracted from human subjects: 0.35 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2873,10,VO_0000569,
1703,59,"YF-Vax induced up-regulation of TYR in PBMC's extracted from human subjects: 0.35 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2874,10,VO_0000569,
1704,59,"YF-Vax induced up-regulation of KPTN in PBMC's extracted from human subjects: 0.30 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2876,10,VO_0000569,
1705,59,"YF-Vax induced up-regulation of FGF6 in PBMC's extracted from human subjects: 0.46 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2879,10,VO_0000569,
1706,59,"YF-Vax induced up-regulation of LBX2-AS1 in PBMC's extracted from human subjects: 0.26 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2880,10,VO_0000569,
1707,59,"YF-Vax induced up-regulation of RRM2 in PBMC's extracted from human subjects: 0.45 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2883,10,VO_0000569,
1708,59,"YF-Vax induced up-regulation of CCL25 in PBMC's extracted from human subjects: 0.47 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2886,10,VO_0000569,
1709,59,"YF-Vax induced up-regulation of PINLYP in PBMC's extracted from human subjects: 0.26 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2887,10,VO_0000569,
1710,59,"YF-Vax induced up-regulation of COX5A in PBMC's extracted from human subjects: 0.38 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2890,10,VO_0000569,
1711,59,"YF-Vax induced up-regulation of CEBPB in PBMC's extracted from human subjects: 0.49 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2892,10,VO_0000569,
1712,59,"YF-Vax induced up-regulation of SRI in PBMC's extracted from human subjects: 0.29 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2893,10,VO_0000569,
1713,59,"YF-Vax induced up-regulation of BET1L in PBMC's extracted from human subjects: 0.30 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2894,10,VO_0000569,
1714,59,"YF-Vax induced up-regulation of GNAS in PBMC's extracted from human subjects: 0.30 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2898,10,VO_0000569,
1715,59,"YF-Vax induced up-regulation of PTP4A2 in PBMC's extracted from human subjects: 0.35 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2901,10,VO_0000569,
1716,59,"YF-Vax induced up-regulation of CHST2 in PBMC's extracted from human subjects: 0.26 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2902,10,VO_0000569,
1717,59,"YF-Vax induced up-regulation of TSPAN9 in PBMC's extracted from human subjects: 0.26 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2904,10,VO_0000569,
1718,59,"YF-Vax induced up-regulation of PHF2 in PBMC's extracted from human subjects: 0.32 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2907,10,VO_0000569,
1719,59,"YF-Vax induced up-regulation of ETV6 in PBMC's extracted from human subjects: 0.31 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2908,10,VO_0000569,
1720,59,"YF-Vax induced up-regulation of MRPL10 in PBMC's extracted from human subjects: 0.26 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2909,10,VO_0000569,
1721,59,"YF-Vax induced up-regulation of MARK4 in PBMC's extracted from human subjects: 0.22 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2915,10,VO_0000569,
1722,59,"YF-Vax induced up-regulation of FOXO3 in PBMC's extracted from human subjects: 0.26 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2916,10,VO_0000569,
1723,59,"YF-Vax induced up-regulation of EGR4 in PBMC's extracted from human subjects: 0.38 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2917,10,VO_0000569,
1724,59,"YF-Vax induced up-regulation of SMAD6 in PBMC's extracted from human subjects: 0.42 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2918,10,VO_0000569,
1725,59,"YF-Vax induced up-regulation of ASB4 in PBMC's extracted from human subjects: 0.29 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2919,10,VO_0000569,
1726,59,"YF-Vax induced up-regulation of LRRC4C in PBMC's extracted from human subjects: 0.55 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2920,10,VO_0000569,
1727,59,"YF-Vax induced up-regulation of TUBA3 in PBMC's extracted from human subjects: 0.38 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2921,10,VO_0000569,
1728,59,"YF-Vax induced up-regulation of NEK7 in PBMC's extracted from human subjects: 0.34 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2922,10,VO_0000569,
1729,59,"YF-Vax induced up-regulation of FERMT3 in PBMC's extracted from human subjects: 0.26 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2925,10,VO_0000569,
1730,59,"YF-Vax induced up-regulation of CHMP2B in PBMC's extracted from human subjects: 0.39 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2928,10,VO_0000569,
1731,59,"YF-Vax induced up-regulation of NMNAT3 in PBMC's extracted from human subjects: 0.50 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2929,10,VO_0000569,
1732,59,"YF-Vax induced up-regulation of TDRD7 in PBMC's extracted from human subjects: 0.37 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,1975,10,VO_0000569,
1733,59,"YF-Vax induced up-regulation of HSPH1 in PBMC's extracted from human subjects: 0.36 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2932,10,VO_0000569,
1734,59,"YF-Vax induced up-regulation of PSMA4 in PBMC's extracted from human subjects: 0.45 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2933,10,VO_0000569,
1735,59,"YF-Vax induced down-regulation of NDUFV1 in PBMC's extracted from human subjects: -0.53 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2493,10,VO_0000239,
1736,59,"YF-Vax induced down-regulation of PREB in PBMC's extracted from human subjects: -0.93 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2495,10,VO_0000239,
1737,59,"YF-Vax induced down-regulation of LIF in PBMC's extracted from human subjects: -0.80 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2496,10,VO_0000239,
1738,59,"YF-Vax induced down-regulation of SGSH in PBMC's extracted from human subjects: -0.45 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2497,10,VO_0000239,
1739,59,"YF-Vax induced down-regulation of RPS7 in PBMC's extracted from human subjects: -0.68 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2498,10,VO_0000239,
1740,59,"YF-Vax induced down-regulation of GUK1 in PBMC's extracted from human subjects: -0.42 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2255,10,VO_0000239,
1741,59,"YF-Vax induced down-regulation of RPL39 in PBMC's extracted from human subjects: -0.73 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2398,10,VO_0000239,
1742,59,"YF-Vax induced down-regulation of RPL36 in PBMC's extracted from human subjects: -0.53 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2499,10,VO_0000239,
1743,59,"YF-Vax induced down-regulation of RPL13 in PBMC's extracted from human subjects: -0.45 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2397,10,VO_0000239,
1744,59,"YF-Vax induced down-regulation of ZNF423 in PBMC's extracted from human subjects: -0.55 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2501,10,VO_0000239,
1745,59,"YF-Vax induced down-regulation of RPS15A in PBMC's extracted from human subjects: -0.58 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2440,10,VO_0000239,
1746,59,"YF-Vax induced down-regulation of CCDC88 in PBMC's extracted from human subjects: -0.52 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2500,10,VO_0000239,
1747,59,"YF-Vax induced down-regulation of ARL4C in PBMC's extracted from human subjects: -0.62 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2502,10,VO_0000239,
1748,59,"YF-Vax induced down-regulation of RPL10L in PBMC's extracted from human subjects: -0.60 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2506,10,VO_0000239,
1749,59,"YF-Vax induced down-regulation of RPS13 in PBMC's extracted from human subjects: -0.50 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2361,10,VO_0000239,
1750,59,"YF-Vax induced down-regulation of FAM212A in PBMC's extracted from human subjects: -0.55 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2508,10,VO_0000239,
1751,59,"YF-Vax induced down-regulation of CCNI in PBMC's extracted from human subjects: -0.39 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2513,10,VO_0000239,
1752,59,"YF-Vax induced down-regulation of EIF4B in PBMC's extracted from human subjects: -0.62 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2421,10,VO_0000239,
1753,59,"YF-Vax induced down-regulation of APRT in PBMC's extracted from human subjects: -0.41 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2517,10,VO_0000239,
1754,59,"YF-Vax induced down-regulation of TCOF1 in PBMC's extracted from human subjects: -0.50 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2518,10,VO_0000239,
1755,59,"YF-Vax induced down-regulation of ITGB1BP3 in PBMC's extracted from human subjects: -0.57 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2523,10,VO_0000239,
1756,59,"YF-Vax induced down-regulation of NLCN in PBMC's extracted from human subjects: -0.02 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2526,10,VO_0000239,
1757,59,"YF-Vax induced down-regulation of KIF1C in PBMC's extracted from human subjects: -0.48 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2527,10,VO_0000239,
1758,59,"YF-Vax induced down-regulation of ACAA1 in PBMC's extracted from human subjects: -0.53 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2528,10,VO_0000239,
1759,59,"YF-Vax induced down-regulation of RPS21 in PBMC's extracted from human subjects: -0.57 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2532,10,VO_0000239,
1760,59,"YF-Vax induced down-regulation of VPS28 in PBMC's extracted from human subjects: -0.45 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2535,10,VO_0000239,
1761,59,"YF-Vax induced down-regulation of HADHA in PBMC's extracted from human subjects: -0.48 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2537,10,VO_0000239,
1762,59,"YF-Vax induced down-regulation of ICAM3 in PBMC's extracted from human subjects: -0.54 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2289,10,VO_0000239,
1763,59,"YF-Vax induced down-regulation of C14ORF2 in PBMC's extracted from human subjects: -0.44 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2541,10,VO_0000239,
1764,59,"YF-Vax induced down-regulation of B4GALT3 in PBMC's extracted from human subjects: -0.37 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2542,10,VO_0000239,
1765,59,"YF-Vax induced down-regulation of RPS6 in PBMC's extracted from human subjects: -0.55 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2379,10,VO_0000239,
1766,59,"YF-Vax induced down-regulation of VWA5B2 in PBMC's extracted from human subjects: -0.52 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2544,10,VO_0000239,
1767,59,"YF-Vax induced down-regulation of PNRC1 in PBMC's extracted from human subjects: -0.49 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2545,10,VO_0000239,
1768,59,"YF-Vax induced down-regulation of C12ORF57 in PBMC's extracted from human subjects: -0.58 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2438,10,VO_0000239,
1769,59,"YF-Vax induced down-regulation of ARF5 in PBMC's extracted from human subjects: -0.40 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2549,10,VO_0000239,
1770,59,"YF-Vax induced down-regulation of RPL9 in PBMC's extracted from human subjects: -0.48 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2444,10,VO_0000239,
1771,59,"YF-Vax induced down-regulation of SLC25A6 in PBMC's extracted from human subjects: -0.48 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2562,10,VO_0000239,
1772,59,"YF-Vax induced down-regulation of COL6A2 in PBMC's extracted from human subjects: -0.35 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2563,10,VO_0000239,
1773,59,"YF-Vax induced down-regulation of RPL37A in PBMC's extracted from human subjects: -0.39 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2352,10,VO_0000239,
1774,59,"YF-Vax induced down-regulation of RPS14 in PBMC's extracted from human subjects: -0.73 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2376,10,VO_0000239,
1775,59,"YF-Vax induced down-regulation of RPL35A in PBMC's extracted from human subjects: -0.46 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2375,10,VO_0000239,
1776,59,"YF-Vax induced down-regulation of RPL7AP66 in PBMC's extracted from human subjects: -0.40 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2565,10,VO_0000239,
1777,59,"YF-Vax induced down-regulation of CORO1A in PBMC's extracted from human subjects: -0.43 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2568,10,VO_0000239,
1778,59,"YF-Vax induced down-regulation of EGLN2 in PBMC's extracted from human subjects: -0.43 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2569,10,VO_0000239,
1779,59,"YF-Vax induced down-regulation of TMEM259 in PBMC's extracted from human subjects: -0.47 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2570,10,VO_0000239,
1780,59,"YF-Vax induced down-regulation of AVP in PBMC's extracted from human subjects: -0.50 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2572,10,VO_0000239,
1781,59,"YF-Vax induced down-regulation of TOMM7 in PBMC's extracted from human subjects: -0.45 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2359,10,VO_0000239,
1782,59,"YF-Vax induced down-regulation of SLC2A4RG in PBMC's extracted from human subjects: -0.44 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2575,10,VO_0000239,
1783,59,"YF-Vax induced down-regulation of EEF1B2 in PBMC's extracted from human subjects: -0.60 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2413,10,VO_0000239,
1784,59,"YF-Vax induced down-regulation of BTF3 in PBMC's extracted from human subjects: -0.41 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2322,10,VO_0000239,
1785,59,"YF-Vax induced down-regulation of PLEC in PBMC's extracted from human subjects: -0.45 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2580,10,VO_0000239,
1786,59,"YF-Vax induced down-regulation of EIF3FP2 in PBMC's extracted from human subjects: -0.42 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2581,10,VO_0000239,
1787,59,"YF-Vax induced down-regulation of PRPF6 in PBMC's extracted from human subjects: -0.44 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2585,10,VO_0000239,
1788,59,"YF-Vax induced down-regulation of RPL13AP5 in PBMC's extracted from human subjects: -0.58 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2586,10,VO_0000239,
1789,59,"YF-Vax induced down-regulation of IGLV1-44 in PBMC's extracted from human subjects: -0.45 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2596,10,VO_0000239,
1790,59,"YF-Vax induced down-regulation of RPS3 in PBMC's extracted from human subjects: -0.49 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2392,10,VO_0000239,
1791,59,"YF-Vax induced down-regulation of STX4 in PBMC's extracted from human subjects: -0.37 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2597,10,VO_0000239,
1792,59,"YF-Vax induced down-regulation of TUFM in PBMC's extracted from human subjects: -0.39 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2598,10,VO_0000239,
1793,59,"YF-Vax induced down-regulation of HCLS1 in PBMC's extracted from human subjects: -0.34 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2601,10,VO_0000239,
1794,59,"YF-Vax induced down-regulation of PRRC2B in PBMC's extracted from human subjects: -0.62 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2602,10,VO_0000239,
1795,59,"YF-Vax induced down-regulation of GJC1 in PBMC's extracted from human subjects: -0.47 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2603,10,VO_0000239,
1796,59,"YF-Vax induced down-regulation of RBM38 in PBMC's extracted from human subjects: -0.41 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2610,10,VO_0000239,
1797,59,"YF-Vax induced down-regulation of EDARADD in PBMC's extracted from human subjects: -0.35 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2614,10,VO_0000239,
1798,59,"YF-Vax induced down-regulation of NPEPL1 in PBMC's extracted from human subjects: -0.41 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2615,10,VO_0000239,
1799,59,"YF-Vax induced down-regulation of LTA4H in PBMC's extracted from human subjects: -0.50 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2621,10,VO_0000239,
1800,59,"YF-Vax induced down-regulation of TMEM63A in PBMC's extracted from human subjects: -0.50 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2530,10,VO_0000239,
1801,59,"YF-Vax induced down-regulation of BRAT1 in PBMC's extracted from human subjects: -0.45 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2550,10,VO_0000239,
1802,59,"YF-Vax induced down-regulation of ENO1 in PBMC's extracted from human subjects: -0.54 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2553,10,VO_0000239,
1803,59,"YF-Vax induced down-regulation of MTMR14 in PBMC's extracted from human subjects: -0.42 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2554,10,VO_0000239,
1804,59,"YF-Vax induced down-regulation of EIF3F in PBMC's extracted from human subjects: -0.41 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2365,10,VO_0000239,
1805,59,"YF-Vax induced down-regulation of SLC22A8 in PBMC's extracted from human subjects: -0.41 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2623,10,VO_0000239,
1806,59,"YF-Vax induced down-regulation of CD3D in PBMC's extracted from human subjects: -0.44 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2626,10,VO_0000239,
1807,59,"YF-Vax induced down-regulation of RPL6 in PBMC's extracted from human subjects: -0.52 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2627,10,VO_0000239,
1808,59,"YF-Vax induced down-regulation of TRABD in PBMC's extracted from human subjects: -0.38 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2629,10,VO_0000239,
1809,59,"YF-Vax induced down-regulation of RPL18A in PBMC's extracted from human subjects: -0.42 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2632,10,VO_0000239,
1810,59,"YF-Vax induced down-regulation of STK11 in PBMC's extracted from human subjects: -0.45 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2633,10,VO_0000239,
1811,59,"YF-Vax induced down-regulation of RPS17 in PBMC's extracted from human subjects: -0.43 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2431,10,VO_0000239,
1812,59,"YF-Vax induced down-regulation of LTB in PBMC's extracted from human subjects: -0.46 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2639,10,VO_0000239,
1813,59,"YF-Vax induced down-regulation of KRT18 in PBMC's extracted from human subjects: -0.47 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2640,10,VO_0000239,
1814,59,"YF-Vax induced down-regulation of ARFGAP1 in PBMC's extracted from human subjects: -0.43 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2641,10,VO_0000239,
1815,59,"YF-Vax induced down-regulation of IL24 in PBMC's extracted from human subjects: -0.53 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2642,10,VO_0000239,
1816,59,"YF-Vax induced down-regulation of AMD1 in PBMC's extracted from human subjects: -0.40 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2643,10,VO_0000239,
1817,59,"YF-Vax induced down-regulation of NKG7 in PBMC's extracted from human subjects: -0.44 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2645,10,VO_0000239,
1818,59,"YF-Vax induced down-regulation of RGL2 in PBMC's extracted from human subjects: -0.45 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2646,10,VO_0000239,
1819,59,"YF-Vax induced down-regulation of PSMC5 in PBMC's extracted from human subjects: -0.36 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2650,10,VO_0000239,
1820,59,"YF-Vax induced down-regulation of BANP in PBMC's extracted from human subjects: -0.36 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2652,10,VO_0000239,
1821,59,"YF-Vax induced down-regulation of FBXL15 in PBMC's extracted from human subjects: -0.31 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2654,10,VO_0000239,
1822,59,"YF-Vax induced down-regulation of KDELR1 in PBMC's extracted from human subjects: -0.34 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2659,10,VO_0000239,
1823,59,"YF-Vax induced down-regulation of CUTA in PBMC's extracted from human subjects: -0.33 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2662,10,VO_0000239,
1824,59,"YF-Vax induced down-regulation of RPS27A in PBMC's extracted from human subjects: -0.53 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2428,10,VO_0000239,
1825,59,"YF-Vax induced down-regulation of DBP in PBMC's extracted from human subjects: -0.43 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2664,10,VO_0000239,
1826,59,"YF-Vax induced down-regulation of ITGA6 in PBMC's extracted from human subjects: -0.49 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2667,10,VO_0000239,
1827,59,"YF-Vax induced down-regulation of FOXC1 in PBMC's extracted from human subjects: -0.43 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2673,10,VO_0000239,
1828,59,"YF-Vax induced down-regulation of BCR in PBMC's extracted from human subjects: -0.40 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,1896,10,VO_0000239,
1829,59,"YF-Vax induced down-regulation of AKR7A2 in PBMC's extracted from human subjects: -0.38 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2679,10,VO_0000239,
1830,59,"YF-Vax induced down-regulation of SNRNP200 in PBMC's extracted from human subjects: -0.38 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2682,10,VO_0000239,
1831,59,"YF-Vax induced down-regulation of LRRC75A-AS1 in PBMC's extracted from human subjects: -0.61 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2425,10,VO_0000239,
1832,59,"YF-Vax induced down-regulation of GNB2L1 in PBMC's extracted from human subjects: -0.43 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2687,10,VO_0000239,
1833,59,"YF-Vax induced down-regulation of CBX7 in PBMC's extracted from human subjects: -0.41 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2263,10,VO_0000239,
1834,59,"YF-Vax induced down-regulation of ALDH16A1 in PBMC's extracted from human subjects: -0.36 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2691,10,VO_0000239,
1835,59,"YF-Vax induced down-regulation of PPP1R12C in PBMC's extracted from human subjects: -0.37 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2693,10,VO_0000239,
1836,59,"YF-Vax induced down-regulation of RPL5 in PBMC's extracted from human subjects: -0.49 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2272,10,VO_0000239,
1837,59,"YF-Vax induced down-regulation of KLRB1 in PBMC's extracted from human subjects: -0.60 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2382,10,VO_0000239,
1838,59,"YF-Vax induced down-regulation of YY1AP1 in PBMC's extracted from human subjects: -0.42 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2696,10,VO_0000239,
1839,59,"YF-Vax induced down-regulation of DENND4B in PBMC's extracted from human subjects: -0.34 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2701,10,VO_0000239,
1840,59,"YF-Vax induced down-regulation of DUOXA2 in PBMC's extracted from human subjects: -0.39 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2703,10,VO_0000239,
1841,59,"YF-Vax induced down-regulation of CHAT in PBMC's extracted from human subjects: -0.67 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2707,10,VO_0000239,
1842,59,"YF-Vax induced down-regulation of CHGA in PBMC's extracted from human subjects: -0.46 fold change 4-7 days after vaccination [Ref3345:Scherer et al., 2007]",1903,2708,10,VO_0000239,
