"c_pathogen_id","c_pathogen_name","c_taxon_id","c_disease_name","c_host_range","c_organism_type","c_preparation_vo_id","c_vaccine_vo_id","c_protein_vo_id","c_pathogenesis","c_protective_immunity","c_gram"
37,Coxiella burnetii,777,Q fever,"Several species are infected by C. burnetii. However, the disease seems to be more severe in human beings [Ref592:Waag, 2007]. C. burnetii has also been found to cause abortions in humans, goats, sheeps, and cattles [Ref606:Langley et al., 2003][Ref607:Palmer et al., 1983][Ref608:Waldhalm et al., 1978]. C. burnetii can be cultured and isolated using chicken embryo yolk sacs. Model organisms normally use for infection research include mice and guinea pigs, and sheeps [Ref609:Williams and Thompson, 1991].",G- bacterium,,,VO_0010773,"C. burnetii is found in large numbers in birth fluids of goat and cows [Ref610:Stoker and Marmion, 1955]. Humans are then infected by inhaling from the infected aerosols or dust particles with the contaminated birth fluids. Approximately only 10 microorganisms are needed to infect humans [Ref596:Tigertt et al., 1961]. Based on animal models, C. burnetii is first engulfed by macrophages after inital infection in the lungs [Ref593:Burton et al., 1971][Ref594:Burton et al., 1978]. The microorganism grows within the acidic environment, with a pH around 4.7 - 4.8 [Ref597:Ohkuma and Poole, 1978], in the phagolysosome and eventually rupture the host cells and infect other neighboring cells [Ref598:Hackstadt and Williams, 1981] [Ref593:Burton et al., 1971]. C. burnetii suppresses the host immune responses and avoids host cell activation (avoid recognition by TLR). As a result, the microogranism is able to persist within phagolysosome [Ref611:Zamboni et al., 2004][Ref612:Shannon et al., 2005].","Antibodies produced by the immune system is not the primary mechanism used for resistance. Studies have shown that the activation of monocytes and macrophages by gamma interferon results in the production of active nitrogen and oxygen intermediates. This mechanism results in the killing of C. burnetii [Ref613:Brennan et al., 2004][Ref614:Turco et al., 1984]. However, C. burnetii minimizes detection by the host cell, thereby minimizes the killing by the intermediates (see Microbial Pathogensis for more information).",-
32,VEE Virus,11036,Venezuelan equine encephalitis,"VEE causes encephalitis in a wide range of vertebrate animals including humans, horses, mules, donkeys, sheep, dogs, bats, rodents, and some birds. Rodents have been frequently used in the laboratory for VEEV pathogenesis and vaccine studies. VEEV is also an arthropod-borne virus and can infect and replicate in mosquito [Ref331:Weaver et al., 2004]. ",virus,,,VO_0010774,"In equines and humans, VEEV causes inapparent to acute encephalitis. Enzootic VEE strains in subtypes I-E, II, III, and IV are avirulent for equines and generally produce only low titered viremia and little or no illness. However, at least some of the enzootic viruses can be pathogenic for humans and have caused fatal disease. The incubation period in human VEEV infection is usually 2â€“5 days. VEE occurs in all human age groups without sex bias. Children are more likely to develop fatal encephalitis than adults. VEEV also causes birth defects, abortions and stillbirths in pregnant women. In experimentally infected equines and rodents, VEEV causes severe myeloid depletion in bone marrow and lymphocyte destruction in lymph, nodes and spleen. Encephalitis is accompanied by a wide range of histopathology, from mild neutrophilic infiltration to neuronal degeneration, necrotizing vasculitis, and Purkinje cell destruction. In mice, VEEV appears to reach the brain via the olfactory nerve, seeded by viremia [Ref331:Weaver et al., 2004].

VEEV encodes four nonstructural proteins (nsP1â€“4) and three structural proteins: the capsid and the E1 and E2 envelope glycoproteins. The E2 protein forms spikes on the surface of the virion. The E1 protein lies adjacent to the host cellâ€“derived lipid envelope. VEEV can use the laminin binding protein as a receptor for entry into cells via receptor-mediated endocytosis. After fusion of virions with the membrane of endosomes at low pH via a hydrophobic amino acid sequence in the E1 protein, the genome is translated in the cytoplasm to generate the nonstructural polyprotein.  Viral genome replication occurs on the cytoplasmic surface of endosomes. One molecule of genomic RNA interacts in the cytoplasm with 240 copies of the capsid protein to form a nucleocapsid. The envelope glycoproteins are inserted into the endoplasmic reticulum membrane and interact with nucleocapsids at the plasma membrane to initiate budding of virus particles on the surface of cells [Ref331:Weaver et al., 2004].

Biological transmission of arthropod-borne VEEV involves initial infection of the mosquito midgut following ingestion of a viremic blood meal. Posterior midgut epithelial cells become infected first, followed by dissemination into the hemocoel and infection of secondary organs and tissues including the salivary glands. Virus maturation (budding) in midgut epithelial cells occurs exclusively on the basal margins adjacent to the basal lamina [Ref331:Weaver et al., 2004].

The epizootic transmission cycle of VEEV actively involves equines as highly efficient amplification hosts. Although the vertebrate host range of epizootic VEEV strains is wide and includes humans, sheep, dogs, bats, rodents, and some birds, major epidemics in the absence of equine cases have never occurred despite the repeated occurrence of epizootics near major cities such as Maracaibo [Ref331:Weaver et al., 2004].

Sylvatic rodents in the genera Sigmodon, Oryzomys, Zygodontomys, Heteromys, Peromyscus, and Proechimys are believed to be the principal reservoir hosts of most enzootic VEE complex viruses. They are frequently infected in nature. They also have high rates of immunity and develop moderate to high titered viremia [Ref331:Weaver et al., 2004].","Cell-mediated immunity plays a predominant role in protection against VEEV. Immunity resulting from inactivated VEEV vaccines is short-lived and frequent boosters are required to maintain protection. Inactivated VEEV vaccines generate protective neutralizing immunity only after multiple inoculations [Ref331:Weaver et al., 2004].  ",n
41,Clostridium tetani,1485,Tetanus,,G+ bacterium,VO_0012220,,VO_0010775,"C. tetani typically enters a host through a wound. C. tetani produces two exotoxins, tetanolysin and tetanospasmin. Eleven strains of C. tetani have been identified, which differ primarily in flagellar antigens and in its ability to produce tetanospasmin. All toxigenic strains contain a plasmid that produces identical toxins. Tetanospasmin is a neurotoxin, one of the most potent toxins known. Tetanospasmin causes the clinical manifestations of tetanus. Tetanospasmin is distributed in the blood and lymphatic system. The toxin enters the nerve axon, transports across synaptic junctions, and finally reaches the central nervous system. It  is then rapidly fixed to gangliosides at the presynaptic junctions of inhibitory motor nerve endings. The tetanus toxin blocks inhibitory impulses by interfering with the release of neurotransmitters, including glycine and gamma-aminobutyric acid. The clinical manifestations of tetanus include unopposed muscle contraction and spasm [Ref711:Brook, 2008].",,+
42,Salmonella spp.,590,Salmonellosis,"S. Typhi only causes infections in humans. S.  Typhimurium causes a lethal disease in susceptible mice which resembles in many aspects of human typoid fever. Therefore, S.  Typhimurium has been frequently used as a model to study human typhoid fever. S. enterica causes zoonotic gastrointestinal infections from reservoirs in all important livestock animals. Vaccine studies have been done on humans, cattle, mice, and chickens [Ref633:Boyle et al., 2007] [Ref633:Boyle et al., 2007].",G- bacterium,VO_0012215,,VO_0010776,"Salmonella first replicates in epithelial cells. It generally targets dendritic cells and macrophages after the mucosal barrier, where it multiplies rapidly [Ref632:Cheminay and Hensel, 2007]. Salmonella infections induce a weak and delayed T cell responses in human typhoid fever and in animal models of typhoid fever, suggesting immunosuppressive effects. Salmonella also directly inhibits T cell proliferations [Ref632:Cheminay and Hensel, 2007].  ","Little information exists regarding the protective immunity and immunological memory for serovar Typhi. B-cell production of soluble antibodies, cytotoxic T lymphocyte activities for killing infected cells, CD4+ and CD8+ T cell homing to the gut, and distinct subsets of memory T cells are shown to be essential for protective immunity against serovar Typhi infection [Ref633:Boyle et al., 2007].  Two vaccines are currently commercially available against typhoid. Typhim Vi (Pasteur Merieux) is a vaccine of purified Vi-antigen from S. Typhi. Vivotif is a live attenuated S. Typhi Ty21 strain, generated by the mutagenesis of the virulent, parental S. Typhi Ty2. The major challenge of vaccine development is balancing immunogenicity and attenuation. Many vaccines have been developed with mutations in regulatory genes encoding adenylate cyclase and cAMP receptor protien [Ref632:Cheminay and Hensel, 2007].",-
43,Shigella,620,Shigellosis,"Humans are the only natural host for Shigella, but NHP have also been used in vaccine trials [Ref648:Niyogi, 2005]. ",G- bacterium,VO_0012208,,VO_0010777,"Infection is generally limited to the intestinal mucosa and involves a possible enterotoxic or cytoxic diarrhoeal prodrome, cytokine-mediated inflammation of the colon, and necrosis of the colonic epithelium. This inflammation is caused by the invasion of Shigella into the colonic epithelium and the lamina propria. Shigella can enter both M cells and enterocytes, reorganizing the cytoskeleton, beginning with the type II secretion system. The colitis and ulceration of the mucosa result in febrile diarrhoea and/or bloody, mucoid stools [Ref648:Niyogi, 2005].

Shigella strains produce three distinct enterotoxins: 
(i) chromosome encoded shigella enterotoxin 1 (SHET1) which is present in all S. flexneri 2a but rarely found in other shigella serotypes. This toxin is enterotoxic, neurotoxic, and cytoxic, with a structure simlilar to the Shiga-like toxins of enterohaemorrhagic E. Coli infection. The toxin is not essential for virulence, but does contribute  to the severity of disease manifestations. Also, this toxin adheres to the small intestine receptors and blocks electrolyte, glucose, and amino acid absorption from the intestinal lumen. The B subunit of this toxin binds host cell glycolipid in the large intestine, A1 domain internalized via receptor-mediated endocytosis and  causes irreversible inactivation of the 60S ribosomal subunit, inhibiting protein synthesis, causing cell death, microvasculature damage to the intestine, and haemorrhage.  
(ii) shigella enterotoxin 2 (SHET2), which is located on a large plasmid associated with the virulence of shigella. SHET2 was found in many shigella of different serotypes and also in enteroinvasive E. coli.  
Inactivation of SHET1 and SHET2 through genetic engineering is used for attenuation of new shigella vaccine candidates.
(iii) phage-born Shiga toxin by S. dysenteriae [Ref648:Niyogi, 2005].

","Wild type Shigella infection induces protective immunity, which develops after repeated exposure during childhood. This immunity is serotype specific (e.g., directed to the LPS O antigen of this organism). Shigella antigen specific antibody response develops early in infection and follows the typical course for anti-LPS antibodies, that is, an IgM response that peaks within weeks of exposure and wanes after 1-2 year [Ref648:Niyogi, 2005].",-
46,Neisseria meningitidis,487,Meningitis,It only infects humans; there is no animal reservoir.,G- bacterium,VO_0012202,,VO_0010778,"Meningococcus is spread through the exchange of saliva and other respiratory secretions during activities like coughing, kissing, and chewing on toys. Those with impaired immunity may be easier to get meningococcus. Meningococcal virulence is related to both capsule expression, expression of other surface structures, and underlying genotype. N meningitidis pathogenesis is related to its ability to express and modify capsule with serogroups A, B, C, W-135, X, and Y. Capsules of N meningitidis facilitate transmission and colonisation, and protect the meningococcus from desiccation, phagocytic killing, opsonisation, and complement-mediated bactericidal killing. Outer membrane proteins (e.g., PorB, PorA , Opa and Opc) contribute to meningococcal virulence. Outer membrane porins are involved in host-cell interactions and as targets for bactericidal antibodies. Endotoxin, or lipo-oligosaccharide, a major component of the outer membrane, differs in structure from enteric endotoxins and is crucial in inflammatory signalling via Toll-like receptor 4 (TLR4) [Ref713:Stephens et al., 2007].","N. mengingitidis establishes systemic infections only in individuals who lack serum bacterial antibodies directed against the capsular or noncapsular (cell wall) antigens of the invading strain, or in patients deficient in the late-acting complement components. The presence of serum bactericidal IgG and IgM is probably the most important host factor in preventing invasive disease. The role of bactericidal antibodies in prevention of invasive disease explains why high attack rates are seen in infants from 6 to 9 months old, the time at which maternal antibodies are being lost. Individuals with complement deficiencies (C5, C6, C7, or C8) may develop meningococcemia despite protective antibody. This emphasizes the importance of the complement system in defense against meningococcal disease [Ref1544:Textbook of Bacteriology].",-
47,Streptococcus pneumoniae,1313,Pneumonia,"Pneumococci spontaneously cause disease in humans, monkeys, rabbits, horses, mice and guinea pigs. Nasopharyngeal colonization occurs in approximately 40% of the population [Ref1461:Textbook of Bacteriology].",G+ bacterium,VO_0012221,,VO_0010779,"S. pneumoniae is normally found in the nasopharynx. It attaches to nasopharyngeal cells through interaction of bacterial surface adhesins. It can cause otitis media or sinusitis if it enters areas such as the Eustachian tube or nasal sinuses. Pneumonia occurs if the organisms are inhaled into the lungs and not eliminated. S. pneumoniae can activate complement, stimulate cytokine production, and attracts neutrophils and other white blood cells. The organism's polysaccharide capsule makes it resistant to phagocytosis. S. pneumoniae can spread to other areas and cause various diseases. S. pneumoniae has several virulence factors, including the polysaccharide capsule, pneumococcal surface proteins, and IgA1 protease [Ref715:Wiki: S. pneumoniae].","The bacteria invade and grow primarily due to their resistance to the host phagocytic response. The cell wall components directly activate multiple inflammatory cascades, including the alternative pathway of complement activation, the coagulation cascade and the cytokine cascade, inducing interleukin-1, interleukin-6 and tumor necrosis factor (TNF) from macrophages and other cells [Ref1461:Textbook of Bacteriology].",+
48,Hepatitis A virus,12092,Hepatitis A,,virus,VO_0012222,,VO_0010780,"The virus spreads by the fecal-oral route, and infections often occur in conditions of poor sanitation and overcrowding. HAV enters the bloodstream through the epithelium of the oropharynx or intestine. Once HAV comes to the liver through the blood, it lives and multiplies within hepatocytes and Kupffer cells (i.e., liver macrophages). There is no apparent virus-mediated cytotoxicity, and liver pathology is likely immune-mediated. Virions are secreted into the bile and released in stool. HAV is excreted in large quantities ~11 days prior to appearance of symptoms or anti-HAV IgM antibodies in the blood  [Ref717:Wiki: Hepatitis A].","Following infection, the immune system makes antibodies against the hepatitis A virus that confer immunity against future infection [Ref717:Wiki: Hepatitis A].",n
49,Hepatitis B virus,10407,Hepatitis B,Hepatitis B virus infects the liver of apes including humans [Ref718:Wiki: Hepatitis B].,virus,VO_0012223,,VO_0010781,"HBV primarily interferes with the functions of the liver by replicating in hepatocytes. HBV virions bind to the host cell via the preS domain of the viral surface antigen, leading to subsequent internalization through endocytosis. HBV-preS specific receptors are primarily expressed on hepatocytes. During HBV infection, the host immune response causes both hepatocellular damage and viral clearance. The innate immune response does not play a significant role in these processes. The adaptive immune response, particularly virus-specific cytotoxic T lymphocytes (CTLs), contributes to most of the liver injury associated with HBV infection. Liver damage is initiated and mediated by the CTLs. Antigen-nonspecific inflammatory cells can worsen CTL-induced immunopathology [Ref718:Wiki: Hepatitis B].","During HBV infection, the host immune response causes both hepatocellular damage and viral clearance. Although the innate immune response does not play a significant role in these processes, the adaptive immune response, particularly virus-specific cytotoxic T lymphocytes (CTLs), contributes to most of the liver injury associated with HBV infection. By killing infected cells and by producing antiviral cytokines capable of purging HBV from viable hepatocytes, CTLs eliminate the virus. Although liver damage is initiated and mediated by the CTLs, antigen-nonspecific inflammatory cells can worsen CTL-induced immunopathology, and platelets activated at the site of infection may facilitate the accumulation of CTLs in the liver [Ref718:Wiki: Hepatitis B].",n
50,Influenza virus,11309,Influenza (flu),"Influenza infects many animal species, and transfer of viral strains between species can occur. Birds are thought to be the main animal reservoirs of influenza viruses. All known subtypes (HxNy) are found in birds, but many subtypes are endemic in humans, dogs, horses, and pigs; populations of camels, ferrets, cats, seals, mink, and whales also show evidence of prior infection or exposure to influenza [Ref719:Wiki: Influenza].",virus,VO_0012229,,VO_0010782,"Seven infection stages by Influenza viruses [Ref719:Wiki: Influenza]:
(1) Influenza viruses bind through hemagglutinin onto sialic acid sugars on the surfaces of epithelial cells, typically in the nose, throat and lungs of mammals and intestines of birds;
(2) The cell imports the virus by endocytosis. In the acidic endosome, part of the hemagglutinin protein fuses the viral envelope with the vacuole's membrane, releasing the viral RNA (vRNA) molecules, accessory proteins and RNA-dependent RNA polymerase into the cytoplasm. 
(3) These proteins and vRNA form a complex. The complex is transported into the cell nucleus, where the RNA-dependent RNA polymerase begins transcribing complementary positive-sense vRNA;
(4) The vRNA is either exported into the cytoplasm and translated or remains in the nucleus. 
(5) Synthesized viral proteins are secreted through the Golgi apparatus onto the cell surface or transported back into the nucleus to bind vRNA and form new viral genome particles. 
(6) Virion are assembled. 
(7) The mature virus buds off from the cell.  After the release of new influenza viruses, the host cell dies .","The mechanisms of heterosubtypic immunity are not completely understood but likely include both T-cell immunity, in particular CD8+ cytotoxic T-lymphocytes (CTL)  and CD4+ T cells, as well as antibodies to conserved epitopes [Ref1138:Epstein et al., 2002].",n
51,Japanese encephalitis virus,11072,Japanese encephalitis,Domestic pigs and wild birds are reservoirs of the virus; transmission to humans may cause severe symptoms.,virus,VO_0012197,,VO_0010783,Japanese encephalitis virus infects the lumen of the endoplasmic reticulum and rapidly accumulates substantial amounts of viral proteins.,"Infection with JEV confers life-long immunity [Ref720:Wiki: Japanese encephalitis]. For JE, both arms have been considered to be important for protection from the disease, since passive transfer of neutralizing antibodies or virus-specific T cells including CTLs can protect mice from a lethal challenge [Ref1160:Konishi et al., 2003].",n
52,Measles virus,11234,Measles,"Humans are the only known natural host of measles, although the virus can infect some non-human primate species [Ref1545:Wiki: Measles].",virus,VO_0012234,,VO_0010784,"Measles virus (MV) has two envelope glycoproteins, the haemagglutinin (H) and fusion proteins, which are responsible for attachment and membrane fusion, respectively. Human signalling lymphocyte activation molecule (SLAM; also called CD150), a membrane glycoprotein of the immunoglobulin superfamily, acts as a cellular receptor for MV. SLAM is expressed on immature thymocytes, activated lymphocytes, macrophages and dendritic cells. It regulates production of interleukin (IL)-4 and IL-13 by CD4+ T cells, as well as production of IL-12, tumour necrosis factor alpha and nitric oxide by macrophages. The distribution of SLAM is in accord with the lymphotropism and immunosuppressive nature of MV [Ref724:Yanagi et al., 2006].","Although innate responses probably contribute to control of virus replication during the incubation period, the onset of clinically apparent disease coincides with the appearance of MV-specific adaptive humoral and cellular immune responses. Antibody can protect from MV infection and may contribute to recovery from infection. Antibody is sufficient for protection because infants are protected by maternal antibody and passive transfer of immune serum can modify or interfere with measles vaccination and can partially protect children from measles after exposure. The best correlate of protection from infection is the level of neutralizing antibody. In infants, the level of maternal antibody correlates with failure of the humoral response to vaccination [Ref723:Griffin et al., 2008].",n
53,Mumps virus,11161,Mumps,"Mumps is a virus that only infects humans [Ref726:Hviid et al., 2008].",virus,VO_0012235,,VO_0010785,"Mumps is acquired through inoculation and replication of the virus in the nasal or upper-respiratory-tract mucosa. Infection can remain localised to the respiratory tract.12 Transient plasma viraemia is probably frequent, occurs late in the incubation period, and leads to viral spread into organs. Infected mononuclear cells can also contribute to systemic viral spread.The parotids are the most commonly affected organs, but parotitis is not a primary or necessary step for mumps infection. The central nervous system (CNS), urinary tract, and genital organs can also be affected. Infection of the kidneys leads to viruria, which is present in most patients and lasts for 10â€“14 days. Plasma viremia seems to be restricted by the humoral immune response,16 and salivary secretion of the virus correlates inversely with the local production of virus-specific secretory IgA [Ref726:Hviid et al., 2008].","Mumps as an illness is generally benign and self-resolving. Titres of neutralising antibody are related to clinical protection, but there is no surrogate immunological marker for protection [Ref726:Hviid et al., 2008].",n
54,Human Papillomavirus,10566,HPV infection,,virus,VO_0012226,,VO_0010786,"HPV infection is limited to the basal cells of stratified epithelium, the only tissue in which they replicate.The virus can not bind to live tissue; instead it infects epithelial tissues through micro-abrasions or other epithelial trauma that exposes segments of the basement membrane.The infectious process is slow, taking 12â€“24 h for initiation of transcription. It's believed that involved antibodies play a major neutralizing role while the virions still reside on the basement membrane and cell surfaces [Ref1549:Wiki: HPV].",,n
55,Poliovirus,138953,Polio,"The primary determinant of infection for any virus is its ability to enter a cell and produce additional infectious particles. CD155 is found only on the cells of humans, higher primates, and Old World monkeys. However, poliovirus is strictly a human pathogen, and does not naturally infect any other species. Chimpanzees and Old World monkeys can only be experimentally infected [Ref732:Wiki: Poliovirus].",virus,VO_0012237,,VO_0010787,"Poliovirus is an enterovirus. Infection occurs via the fecal-oral route. Poliovirus infects human cells by binding to an immunoglobulin-like receptor, CD155 (or called poliovirus receptor (PVR)) on the cell surface. Poliomyelitis is a disease of the central nervous system. Paralytic disease occurs when the virus enters the central nervous system and replicates in motor neurons [Ref732:Wiki: Poliovirus].",Antibodies to poliovirus are able to block replication and spread of poliovirus [Ref732:Wiki: Poliovirus].,n
56,Rabies virus,11292,Rabies,"Most animals can be infected by the virus and can transmit the disease to humans. Infected bats, monkeys, raccoons, foxes, skunks, cattle, wolves, dogs or cats provide the greatest risk to humans. Rabies may also spread through exposure to infected domestic farm animals, groundhogs, weasels and other wild carnivores. Rodents (mice, squirrels etc) are seldom infected [Ref736:Wiki: Rabies].",virus,VO_0012242,,VO_0010788,"The virus is usually present in the nerves and saliva of a symptomatic rabid animal. The route of infection is usually by a bite. The infected animal is often exceptionally aggressive. Transmission may also occur via an aerosol through mucous membranes. After a typical human infection by bite, the virus enters the peripheral nervous system. It then travels along the nerves towards the central nervous system. Once the virus reaches the brain, it rapidly causes encephalitis. Rabies may also inflame the spinal cord producing myelitis [Ref736:Wiki: Rabies].",,n
57,Rotavirus,10912,Gastroenteritis,"In addition to humans, rotaviruses infect and cause diarrhoea in young animals. They have been shown to infect mammals (for example, apes, cattle, pigs, sheep, rats,, cats, and dogs, mice, horses, rabbits) and birds (chickens and turkeys). These rotaviruses are a potential reservoir for genetic exchange with human rotaviruses. There is evidence that animal rotaviruses can infect humans, either by direct transmission of the virus or by contributing one or several RNA segments to reassortants with human strains [Ref739:Wiki: Rotavirus].",virus,VO_0012243,,VO_0010789,"Rotavirus is transmitted by the faecal-oral route and possibly by the respiratory route. The diarrhoea is caused by multiple activities of the virus. Malabsorption occurs because of the destruction of gut enterocytes. The toxic rotavirus protein NSP4 induces age- and calcium ion-dependent chloride secretion, and disrupts SGLT1 transporter-mediated reabsorption of water. A recurrence of mild diarrhoea often follows the reintroduction of milk into the child's diet, due to bacterial fermentation of the disaccharide lactose in the gut [Ref739:Wiki: Rotavirus].","Protective immune responses against rotavirus infections have been correlated with production of rotavirusspecific fecal IgA in vivo in human and porcine studies
as well as in mice [Ref1232:Herrmann et al., 1999].",n
58,Rubella virus,11041,Rubella,Humans are the only known host of the rubella virus [Ref741:Wiki: Rebella].,virus,VO_0012244,,VO_0010790,Rubella virus is transmitted by the respiratory route and replicates in the nasopharynx and lymph nodes. The virus is found in the blood 5 to 7 days after infection and spreads throughout the body. It is capable of crossing the placenta and infecting the fetus where it stops cells from developing or destroys them [Ref741:Wiki: Rebella].,,n
59,Yellow fever virus,11089,Yellow fever,,virus,VO_0012247,,VO_0010791,"Yellow fever is caused by an arbovirus of the family Flaviviridae, a positive sense single-stranded RNA virus. Human infection begins after deposition of viral particles through the skin in infected arthropod saliva. After infection the virus first replicates locally, then transports to the rest of the body via the lymphatic system. Following systemic lymphatic infection the virus proceeds to establish itself throughout organ systems, including the heart, kidneys, adrenal glands, and the parenchyma of the liver. High viral loads are also present in the blood [Ref743:Wiki: Yellow fever].",,n
60,Varicella-zoster virus,10335,chickenpox / shingles,,virus,VO_0012248,,VO_0010792,VZV share much genome homology with the herpes simplex viruses (HSV). The capsid is surrounded by a number of loosely associated proteins known collectively as the tegument. Many of these tegument proteins play critical roles in initiating the process of virus reproduction in the infected cell. The tegument is in turn covered by a lipid envelope studded with glycoproteins that are displayed on the exterior of the virion [Ref746:Wiki: Varicella zoster].,,n
106,Tick-borne Encephalitis Virus (TBEV),11084,Tick-borne Encephalitis,,virus,VO_0012286,,VO_0010793,,,n
112,Chlamydophila pneumoniae,83558,Pneumonia,"In addition to infecting humans, C. pneumoniae also infects and causes disease in Koalas, emerald tree boa (Corallus caninus), iguanas, chameleons, frogs, and turtles [Ref1428:Wiki: Chlamydophila pneumoniae].",G- bacterium,VO_0012238,,VO_0010794,"Chlamydophila pneumoniae is a small bacterium (0.2 to 1 micrometer) that undergoes several transformations during its life cycle. It exists as an elementary body (EB) in between hosts. The EB is not biologically active but is resistant to environmental stresses and can survive outside of a host for a limited time. The EB travels from an infected person to the lungs of a non-infected person in small droplets and is responsible for infection. Once in the lungs, the EB is taken up by cells in a pouch called an endosome by a process called phagocytosis. However, the EB is not destroyed by fusion with lysosomes as is typical for phagocytosed material. Instead, it transforms into a reticulate body and begins to replicate within the endosome. The reticulate bodies must utilize some of the host's cellular machinery to complete its replication. The reticulate bodies then convert back to elementary bodies and are released back into the lung, often after causing the death of the host cell. The EBs are thereafter able to infect new cells, either in the same organism or in a new host. Thus, the life cycle of C. pneumoniae is divided between the elementary body, which is able to infect new hosts but can not replicate, and the reticulate body ,which replicates but is not able to cause new infection [Ref1428:Wiki: Chlamydophila pneumoniae].",,-
113,Chlamydia muridarum,83560,,C. muridarum naturally infects only members of the family Muridae (which includes both mice and hamsters) [Ref1426:Wiki: Chlamydia muridarum].,G- bacterium,VO_0012246,,VO_0010795,,,-
111,Yersinia pseudotuberculosis,633,Yersiniosis,,G- bacterium,,,VO_0010796,,,-
99,Cancer,,Cancer,,other,VO_0012212,,,,,n
114,Allergy,,Allergy,,other,VO_0012213,,,,,n
101,Bovine Leukemia virus,11901,,,virus,VO_0012216,,VO_0010797,,,n
62,Corynebacterium diphtheriae,1717,Diphtheria,"C. diphtheriae is only found in the mouth, throat, nose, skin, bodily secretions, and wounds of infected persons. Animals do not easily contract Diphtheria from human beings, and naturally have immunity [Ref1551:MicrobeWiki: C. diphtheriae].",G+ bacterium,VO_0012193,,VO_0010798,"Diptheria as a disease presents itself in two forms: respiratory and cutaneous. Cutaneous diphtheria can be caused by both the toxigenic and the nontoxigenic strains of C. diphtheriae. Cutaneous diphtheria presents as nondescript sores or shallow ulcers on the skin, and is usually mild and treatable. Only 1-2% of cutaneous cases become toxigenic. Respiratory diphtheria is caused by C. diphtheriae bacteria adhering to and colonizing the tonsils, nasal cavity, and throat. Mechanisms of adherence are unknown, but recent research suggests that proteins SpaB and SpaC found on two minor pili play an important role in specifically binding to pharyngeal cells. A visible, leathery pseudomembrane forms over the surface of the cells, especially the tonsils and throat. A lesion develops and plasma from injured epithelial cells leaks into the lesion, producing a fibrin network infused with C. diphtheriae. Symptoms present themselves 2-5 days after infection with C. diphtheriae. Initially, symptoms include a sore throat and low fever. More severe symptoms include inflammation of the neck and difficulty breathing or asphyxiation [Ref1551:MicrobeWiki: C. diphtheriae].","Acquired immunity to diphtheria is due primarily to toxin-neutralizing antibody (antitoxin). Passive immunity in utero is acquired transplacentally and can last at most 1 or 2 years after birth. In areas where diphtheria is endemic and mass immunization is not practiced, most young children are highly susceptible to infection. Probably, active immunity can be produced by a mild or inapparent infection in infants who retain some maternal immunity, and in adults infected with strains of low virulence (inapparent infections) [Ref1552:Textbook of Bacteriology].",+
64,Porcine circovirus 2,85708,Postweaning multisystemic wasting syndrome,,virus,VO_0012256,,VO_0010799,"PCV2 binds to heparin sulfate and chondroitin sulfate, which are glycosaminoglycans (GAGs), as a 1st step of attachment. However, as PCV2 is found in cells that lack GAGs, it is thought that another coreceptor is also used for viral entry. The hallmark lesion of PCV2 infection is lymphoid depletion with histiocytic replacement. In affected lymph organs, dendritic cells, and macrophages that replace the lymphocytes contain large amounts of PCV2 virus. There is no viral degradation in these cells, and because dendritic cells are highly mobile, it is thought that dendritic mobility may be a method of viral dissemination in tissues. It is still unknown how PCV2 causes a reduction in lymphocytes. Hypotheses include induced apoptosis, decreased lymphocyte production in the bone marrow, or reduced lymphocyte proliferation in secondary lymphoid tissue [Ref1542:Gillespie et al., 2009].","Because most breeding age sows are seropositive for PCV2, most piglets are born with maternal antibodies against PCV2. In weaned piglets, the mean half life of antibodies is 19 days. Antibody levels will wane at 4â€“6 weeks in pigs with initially low levels of antibody, at 6â€“10 weeks with moderate antibody levels, and by 8.5â€“13.5 weeks in pigs with high antibody levels. Piglets do not typically demonstrate clinical signs of disease before 4 weeks of age, suggesting that maternally derived antibodies are protective. Experimental studies found that maternal antibody protection is dependent on the level of maternal antibodies present. High levels of maternal antibodies are more protective than low levels, but do not completely prevent infection, whereas low levels of antibodies did not provide any protection against infection [Ref1542:Gillespie et al., 2009].",n
65,Pseudorabies virus,10345,Aujeszky's disease,"Although the pig is the only natural host, the virus can infect cattle, sheep, cats, dogs, and goats as well as wildlife, including raccoons, opossums, skunks, and rodents. Experimental studies in nonhuman primates indicate that rhesus monkeys and marmosets are susceptible but chimpanzees are not. Reports of human infection are limited and are based on seroconversion rather than virus isolation. Infections in horses are rare [Ref1464:Merck Vet Manual: Pseudorabies].",virus,VO_0012257,,VO_0010800,"After natural infection, the primary site of viral replication is nasal, pharyngeal, or tonsillar epithelium. The virus spreads via the lymphatics to regional lymph nodes, where replication continues. Virus also spreads via nervous tissue to the brain, where it replicates, preferentially in neurons of the pons and medulla. In addition, virus has been isolated from alveolar macrophages, bronchial epithelium, spleen, lymph nodes, trophoblasts, embryos, and luteal cells [Ref1464:Merck Vet Manual: Pseudorabies].",,n
66,Classical swine fever virus,11096,"Classical swine fever, hog cholera",Swine fever is is a highly contagious disease of pigs and wild boar [Ref1429:Wiki: Classical swine fever].,virus,VO_0012240,,VO_0010801,,,n
67,Bovine herpesvirus 1,10320,Infectious bovine rhinotracheitis,,virus,VO_0012217,,VO_0010802,,,n
